amfi_code,sharpe_ratio
100016,-0.09841106666017059
100025,-0.18299602384410646
100033,1.1729099652221187
101206,1.1301772271337545
101207,0.2208063391009582
101208,2.146300740984074
102885,0.9339524512286232
102886,-0.12311668938029709
102887,0.7147051185758564
118632,1.1876785919758555
118633,0.7523716237944277
118634,0.5078599049629084
118635,0.7803912852754877
118636,0.019731210039438514
119092,0.1383066352859346
119093,0.2368853476612769
119094,1.0755222180794854
119095,-0.016132939302350175
119120,0.1515381544418473
119551,1.3174254793547255
119552,1.0608883957540407
119598,1.0049727553941548
119599,0.0029333131546473096
120503,0.9060074836005433
120504,1.130953616132422
120505,1.2578578683358999
120506,0.7473652590168676
120507,3.5326977912311963
120841,0.6056824271877937
120842,0.1598234797417082
120843,1.4011608684160721
120844,2.8334233265805513
125497,0.8780476378879002
125498,0.3823449663592596
148567,1.5539718093539556
148568,1.0235059581070947
148569,1.3198004247843294
149322,0.5685389574535191
149323,1.2166471836405774
149324,1.0101817997243472
