amfi_code,sortino_ratio
100016,-0.1714343872719519
100025,-0.30391663553331644
100033,1.9616091395087754
101206,1.9799441114984309
101207,0.37553433538597963
101208,4.423929844424462
102885,1.6410670173637385
102886,-0.2076885120520489
102887,1.25604012393097
118632,2.0314742944699984
118633,1.3462255984999758
118634,0.8448755268314545
118635,1.3357265037759125
118636,0.033944451943310666
119092,0.23619835163965547
119093,0.40406153426710334
119094,1.8357194569467472
119095,-0.027220128729386495
119120,0.25198931765046706
119551,2.3336261422696567
119552,1.791492634866129
119598,1.7810565983500861
119599,0.004841471081340473
120503,1.5190823767006376
120504,1.9889481182777415
120505,2.1630666665330103
120506,1.2622295598241324
120507,7.497801733384873
120841,1.056999538240348
120842,0.2622234750079562
120843,2.5351505625414914
120844,5.993409208976433
125497,1.506045200466232
125498,0.6471533788917574
148567,2.5597229198904055
148568,1.804105523828779
148569,2.294460295586584
149322,0.9337607430921632
149323,2.015097953874791
149324,1.7227761416958125
